英文,谷歌翻译,引用数量？
1girl,1个女孩,3663973
solo,独奏,3053641
highres,高分辨率,2665721
long hair,长发,2578970
commentary request,评论请求,2346332
breasts,乳房,2001847
looking at viewer,看着观众,1789449
blush,脸红,1770482
smile,微笑,1642260
short hair,短发,1364561
open mouth,张开嘴,1353940
bangs,刘海,1278666
blue eyes,蓝眼睛,1062389
multiple girls,多个女孩,979395
skirt,裙子,956212
blonde hair,金发,955290
large breasts,大乳房,934549
brown hair,棕色头发,933123
simple background,简单的背景,916212
shirt,衬衫,846430
black hair,黑发,845850
hair ornament,发饰,809111
absurdres,荒谬,783860
red eyes,红眼睛,779475
thighhighs,长筒袜,777397
hat,帽子,767749
gloves,手套,764559
1boy,1男孩,757275
bad id,错误的 ID,755740
long sleeves,长袖,751770
white background,白色背景,747657
dress,连衣裙,723544
original,原版,713533
ribbon,丝带,692784
touhou,东方,689133
bow,弓,689044
navel,肚脐,677066
bad pixiv id,坏 pixiv id,636694
2girls,2个女孩,636597
photoshop (medium),Photoshop（中）,632519
holding,控股,616193
animal ears,动物耳朵,615717
cleavage,乳沟,598105
hair between eyes,眼睛之间的头发,585904
bare shoulders,裸露的肩膀,566928
brown eyes,棕色的眼睛,564947
twintails,双马尾,564006
medium breasts,中等乳房,556362
commentary,评论,554808
jewelry,首饰,552567
sitting,坐着,544503
very long hair,很长的头发,533988
underwear,内衣,531948
closed mouth,闭口,520560
nipples,乳头,512054
school uniform,校服,508447
green eyes,绿眼睛,506172
blue hair,蓝色的头发,487376
standing,站立,473056
purple eyes,紫色的眼睛,463120
collarbone,锁骨,448824
panties,内裤,442366
monochrome,单色,421271
tail,尾巴,416809
jacket,夹克,414708
translated,翻译,410792
swimsuit,泳衣,408060
full body,全身,396148
closed eyes,闭上眼睛,394458
hair ribbon,发带,393021
kantai collection,康泰系列,390570
yellow eyes,黄色的眼睛,385114
weapon,武器,374638
ponytail,马尾辫,373553
upper body,上半身,370538
purple hair,紫色头发,369812
ass,屁股,366636
pink hair,粉红色的头发,366148
white shirt,白衬衫,364421
comic,漫画,362267
braid,编织,359094
flower,花,356472
ahoge,ahoge,351749
:d,:d,334875
short sleeves,短袖,333964
hair bow,发弓,332667
greyscale,灰度,332310
hetero,异性,327824
white hair,白发,320446
male focus,男性焦点,319559
heart,心,311429
pantyhose,连裤袜,306703
bikini,比基尼,304061
sidelocks,侧锁,295954
nude,裸体,293758
thighs,大腿,293653
red hair,红头发,290725
cowboy shot,牛仔射击,288183
pleated skirt,百褶裙,287179
sweat,汗水,286164
hairband,发带,284995
translation request,翻译请求,283752
small breasts,小乳房,280946
earrings,耳环,280421
multicolored hair,五彩的头发,279707
boots,靴子,278884
lying,说谎,269737
censored,审查,266107
grey hair,白发,265804
frilled,褶边,263037
parted lips,分开的嘴唇,258771
detached sleeves,分离式袖子,257851
one eye closed,一只眼睛闭着,256767
outdoors,户外,256217
food,食品,255326
japanese clothes,日本衣服,252160
multiple boys,多个男孩,247835
green hair,绿色的头发,247581
wings,翅膀,246750
open clothes,打开衣服,244122
sky,天空,241306
necktie,领带,240752
horns,喇叭,238138
penis,阴茎,236205
shoes,鞋子,235952
fate (series),命运（系列）,232867
glasses,眼镜,230705
barefoot,赤脚,225387
shorts,短裤,224615
serafuku,濑福,220443
pussy,猫,217981
teeth,牙齿,216171
day,天,212348
solo focus,独奏焦点,212179
sleeveless,无袖,211023
choker,项链,209835
alternate costume,替代服装,209307
tongue,舌头,208809
pointy ears,尖耳朵,202516
socks,袜子,202362
black gloves,黑色手套,199776
elbow gloves,肘部手套,195056
hairclip,发夹,194174
fang,方,191398
striped,条纹,188474
midriff,中腹部,187765
puffy sleeves,蓬松的袖子,184313
shiny,闪亮,182139
looking back,回头看,181185
belt,腰带,179901
sword,剑,177281
collared shirt,有领衬衫,174204
official art,官方艺术,173824
pants,裤子,172653
cloud,云,171401
artist name,艺术家姓名,170047
silver hair,银发,169353
black thighhighs,黑色长筒袜,167338
tears,眼泪,165102
fate/grand order,命运/大订单,164452
indoors,室内,163949
cat ears,猫耳朵,163860
white gloves,白手套,161364
3girls,3个女孩,159570
hair flower,发花,158085
virtual youtuber,虚拟 youtuber,157796
signature,签名,157192
dark skin,深色皮肤,156013
hand up,举手,155346
spread legs,张开双腿,153846
cum,暨,153452
2boys,2个男孩,152087
hood,引擎盖,151133
idolmaster,偶像大师,150970
sex,性别,150267
miniskirt,迷你裙,149972
wide sleeves,宽袖,149085
tongue out,吐舌头,148559
fingerless gloves,无指手套,148164
on back,背面,148125
blunt bangs,钝刘海,146215
black skirt,黑色裙子,145935
bowtie,领结,145915
armpits,腋窝,145624
pink eyes,粉红色的眼睛,144875
sailor collar,水手领,142722
kimono,和服,141475
english commentary,英文评论,141156
black legwear,黑色裤袜,140642
pokemon,宠物小精灵,139428
medium hair,中等头发,139120
water,水,137475
grey background,灰色背景,135897
necklace,项链,134647
chibi,赤壁,131479
off shoulder,露肩,131366
bag,包,130852
hair bun,发髻,130235
clothes lift,衣服升降机,130127
scarf,围巾,129645
cape,斗篷,129597
from behind,从后面,129444
star (symbol),星（符号）,129280
twitter username,推特用户名,127746
bra,文胸,127486
yuri,尤里,127253
stomach,胃,127212
nail polish,指甲油,126690
sweatdrop,汗珠,126017
orange hair,橙色头发,125378
armor,盔甲,125241
white dress,白色连衣裙,125227
holding weapon,手持武器,124826
black footwear,黑色鞋类,124749
white panties,白色内裤,124171
rabbit ears,兔耳朵,123685
mole,鼹鼠,120941
uniform,制服,120421
hair over one eye,一只眼睛上的头发,120191
grin,咧嘴一笑,120043
:o,:o,119305
huge breasts,巨大的乳房,118350
character name,人物名称,118123
black eyes,黑眼睛,117823
apron,围裙,117739
blurry,模糊,117649
looking at another,看着另一个,115571
vest,背心,114194
black dress,黑色连衣裙,112102
high heels,高跟鞋,111663
arm up,举起手臂,111522
twin braids,双辫子,111295
vaginal,阴道,111263
mosaic censoring,马赛克审查,111160
red bow,红色蝴蝶结,110998
flat chest,平胸,109719
arms up,举起手臂,109138
side ponytail,侧马尾辫,108736
shiny hair,闪亮的头发,108666
bracelet,手链,108516
covered nipples,覆盖的乳头,108420
collar,衣领,108155
feet,脚,105536
dated,日期,105505
from side,从侧面,104550
aqua eyes,水眼,104519
vocaloid,VOCALOID,104098
sweater,毛衣,102346
white thighhighs,白色长筒袜,101685
speech bubble,讲话泡泡,101086
two-tone hair,两色头发,100964
leotard,紧身衣,100609
red ribbon,红丝带,99774
two side up,两侧向上,99506
english text,英文文本,98580
dark-skinned female,黑皮肤女性,98558
sketch,素描,98068
tree,树,97967
open jacket,开夹克,97835
cup,杯子,97621
lips,嘴唇,97013
blue sky,蓝天,96958
puffy short sleeves,蓬松短袖,96708
zettai ryouiki,zettai ryouiki,95992
blue skirt,蓝色裙子,94360
hololive,hololive,92990
groin,腹股沟,92601
fingernails,指甲,91575
coat,外套,91458
wet,湿的,91360
cat tail,猫尾巴,90731
bad twitter id,错误的推特 ID,90514
v-shaped eyebrows,V字眉,90092
white legwear,白色裤袜,89878
head tilt,头部倾斜,89696
neckerchief,围巾,89678
black jacket,黑色夹克,88817
streaked hair,条纹头发,88765
official alternate costume,官方备用服装,88751
genshin impact,原神冲击,88692
see-through,透明,88588
orange eyes,橙色眼睛,87500
azur lane,碧蓝航线,87494
hand on hip,手放在臀部,87408
gradient,渐变,87228
gun,枪,87224
shiny skin,闪亮的皮肤,87001
crop top,裁剪上衣,86661
idolmaster cinderella girls,偶像大师灰姑娘女孩,86230
wrist cuffs,手腕袖口,85732
pillow,枕头,85546
book,书,85505
animal ear fluff,动物耳朵绒毛,85383
artist request,艺术家请求,85122
plaid,格子,84719
torn clothes,撕裂的衣服,84717
maid,女佣,84584
sleeves past wrists,袖子过手腕,84578
looking to the side,看向一边,84061
kneehighs,膝盖高,83452
military,军事,83360
grey eyes,灰色的眼睛,83330
sash,窗扇,83198
parted bangs,分刘海,83043
pokemon (game),宠物小精灵（游戏）,82623
maid headdress,女仆头饰,82494
legs,腿,82346
petals,花瓣,81946
cosplay,角色扮演,81666
black panties,黑色内裤,81380
black pantyhose,黑色连裤袜,80852
fur trim,皮草饰边,80600
bare arms,光着膀子,80571
pubic hair,阴毛,80147
hands up,举起手来,80031
one-piece swimsuit,连体泳衣,79851
gradient background,渐变背景,79339
symbol-shaped pupils,符号形瞳孔,79265
fox ears,狐狸耳朵,79230
loli,萝莉,79155
ascot,阿斯科特,78975
short shorts,短裤,78945
dutch angle,荷兰角,78264
clothing cutout,服装镂空,77114
black shirt,黑色衬衫,76355
eyelashes,睫毛,76065
open shirt,开衫,75886
bare legs,裸腿,75490
no humans,没有人类,75368
dress shirt,礼服衬衫,75140
lowres,低分辨率,75101
sparkle,闪光,74901
bar censor,酒吧审查员,74745
kneeling,跪着,74644
window,窗口,74545
mole under eye,眼睛下方的痣,74189
pokemon (creature),宠物小精灵 (生物),73845
4girls,4个女孩,73692
single braid,单辫,73265
hug,拥抱,73019
bodysuit,紧身连衣裤,72934
v,v,72590
no bra,没有胸罩,72480
sleeveless shirt,无袖衬衫,72199
bell,铃,72065
saliva,唾液,71940
double bun,双包子,71791
strapless,无肩带,71663
aqua hair,水色头发,71586
uncensored,未经审查,71026
military uniform,军装,70886
black ribbon,黑丝带,70831
black headwear,黑色头饰,70413
bed,床,70378
md5 mismatch,md5 不匹配,70020
blood,血,69756
scan,扫描,69705
hatsune miku,初音未来,69521
4koma,4koma,69167
hoodie,连帽衫,69086
sideboob,侧臂,68975
pussy juice,猫汁,68315
profile,个人资料,68308
completely nude,完全裸体,68276
covered navel,覆盖肚脐,67835
black bow,黑色蝴蝶结,67833
makeup,化妆,67812
tattoo,纹身,67596
skindentation,剥皮,67546
leaning forward,身体前倾,67471
neck ribbon,颈带,67406
muscular,肌肉发达,66550
